problem_id,grid_size,N,compilation_time,reconstruction_time,fidelity,L2,noise
6,100,10,0.002422809600830078,0.011833906173706055,0.9864906466204734,1.822001493795401e-07,0
6,100,20,0.010528087615966797,0.19395089149475098,0.9989587639460408,0.0003515341127607516,0
6,100,30,0.023766040802001953,2.5523650646209717,1.0025185703762425,0.0008317453228070974,0
6,100,40,0.030720949172973633,6.793753147125244,1.0008245238612463,0.00044101979031288817,0
6,100,50,0.048449039459228516,10.25461721420288,0.9969554854316189,0.00010914061513206477,0
7,100,10,0.002349853515625,0.08746218681335449,0.9986785983013549,3.1828268847077494e-08,0
7,100,20,0.008364200592041016,0.15567994117736816,0.9993931453613967,0.00032530298213895916,0
7,100,30,0.02101612091064453,0.8389618396759033,1.0014451690626551,0.0003664875541249938,0
7,100,40,0.029644012451171875,2.9183530807495117,1.0010510104675898,0.00033869777397493856,0
7,100,50,0.053496599197387695,11.499651193618774,0.9993674740731967,6.548979702646549e-05,0
1,100,10,0.22200608253479004,0.09099888801574707,0.998369333649736,1.8916439569152994e-07,0.01
1,100,20,3.5454070568084717,0.8346171379089355,0.9996668018775434,0.000311409435816915,0.01
1,100,30,20.919180870056152,6.974792242050171,0.9991616992439303,0.00031406135867677966,0.01
1,100,40,83.79702401161194,18.536909103393555,1.0026766704868018,0.000329124226112146,0.01
1,100,50,232.72763800621033,50.617182970047,1.0005808047989384,6.373974292390876e-05,0.01
2,100,10,0.0026481151580810547,0.008411169052124023,0.9900558598754079,5.3367442718497656e-08,0.01
2,100,20,0.009746074676513672,0.24431204795837402,0.9994942162064329,0.00014465914186295964,0.01
2,100,30,0.021500110626220703,0.8513097763061523,1.0009396575747713,0.00031861090141733903,0.01
2,100,40,0.03346109390258789,4.54865574836731,0.9994462388499575,0.00024163140038460353,0.01
2,100,50,0.044599056243896484,14.088557720184326,0.9971270187231943,5.114361952034472e-05,0.01
3,100,10,0.002753019332885742,0.029579877853393555,0.9995326547218356,3.4132149488130266e-08,0.01
3,100,20,0.011729955673217773,0.2923450469970703,0.9998356328980573,5.646332982193903e-05,0.01
3,100,30,0.023806095123291016,6.986531019210815,0.9982475637604435,6.613586301566138e-05,0.01
3,100,40,0.03462696075439453,11.663715124130249,0.9994934484028726,6.885376951181677e-05,0.01
3,100,50,0.05229902267456055,10.922874212265015,1.0014563100452065,1.3338793843020899e-05,0.01
